 \.\.\. and ([,0-9]+) more.	 ... その他$1件
([0-9]+) anomalies were identified in this test:	このテストで$1個の異常が見つかりました: 
([0-9]+) bits failed the test. The following ([0-9]+) bits passed the test: ([0-9]+)(, [0-9]+)*.(.*) 	$1ビットが不合格。次の$2ビットは合格: $3$4$5
([0-9]+) bits passed the test. The following ([0-9]+) bits failed the test: ([0-9]+)(, [0-9]+)*.(.*)	$1ビットが合格。次の$2ビットは不合格: $3$4$5
([0-9]+) items?　selected	$1個のアイテムを選択
([0-9]+) items?	$1個のアイテム
([0-9]+) letter words	$1文字単語
([0-9]+) payload positions?	$1個のペイロードポジション
([0-9]+) results?	$1件の結果
([0-9]+) tokens were padded with (.*) at the end.	$1トークンは末尾を$2でパディングされました。
([0-9]+) tokens were padded with (.*) at the start.	$1トークンは先頭を$2でパディングされました。
([0-9]+)% complete	$1%完了
([0-9]+)h ([0-9]+)m ([0-9]+)s	$1時間 $2分 $3秒
([0-9]+)m ([0-9]+)s	$1分 $2秒
([0-9]+)s	$1秒
([1-9][0-9]*) match(es)?	$1件マッチ
([A-Z]+) request to (.*)	$2 への $1 リクエスト
(In|Of) request does not match	リクエストのものに一致しない
(In|Of) request matches	リクエストのものに一致
(In|Of) response does not match	レスポンスのものに一致しない
(In|Of) response matches	レスポンスのものに一致
[Bb]ytes	バイト
\\$1000	￥30000
\\(Leave blank to run once only\\)	(一度のみ実行する場合は空白のまま)
\\[and ([0-9]+) more\\]	[その他$1件]
\\[NOT SELECTED\\]	[選択されていません]
0 matches	マッチなし
0 positions	ポジションなし
1 \\(LSB\\)	1(最下位ビット)
1. Click the "Copy Clickbandit to clipboard" button below. This will copy the Clickbandit script to your clipboard.	1. 下の"Clickbanditをクリップボードにコピー"ボタンをクリックします。これでClickbanditのスクリプトがクリップボードにコピーされます。
1. Using your browser, go to the following URL:	1. ブラウザを使用して、次のURLにアクセスします:
2. Copy the following data into the activation request field in your browser:	2. ブラウザのアクティベーションリクエストフィールドに、次のデータをコピーします:
2. In your browser, visit the web page that you want to test, in the usual way.	2. ブラウザで、テストしたいWebページに、通常通りアクセスします。
2xx  \\[success\\]	2xx  [成功]
3. In your browser, open the web developer console. This might also be called "developer tools" or "JavaScript console".	3. ブラウザで、Web開発コンソールを開きます。これは"開発者ツール"や"JavaScriptコンソール"などと呼ばれていると思います。
3. Paste below the data from the activation response field in your browser:	3. ブラウザのアクティベーションレスポンスフィールドから、次にデータを貼り付けます:
3xx  \\[redirection\\]	3xx  [リダイレクト]
3xx status code with Location header	3xxステータスコードのLocationヘッダ
4. Paste the Clickbandit script into the web developer console, and press enter.	4. ClickbanditスクリプトをWeb開発者コンソールに貼り付け、enterを押します。
4xx  \\[request error\\]	4xx  [リクエストエラー]
5xx  \\[server error\\]	5xx  [サーバエラー]
8 \\(MSB\\)	8(最上位ビット)
A communications error occurred. Please review your connection settings and retry, or attempt to perform manual activation.	通信エラーが発生しました。接続設定を確認して再試行するか、手動アクティベーションを実行してください。
A macro is a sequence of one or more requests. You can use macros within session handling rules to perform tasks such as logging in to the application, obtaining anti-CSRF tokens, etc.	マクロは、１つまたは複数のリクエストのシーケンスです。セッションハンドリングルール内でマクロを使用すると、アプリケーションへのログインや、CSRF対策トークンの取得などのタスクを実行できます。
A new version of Burp is available.	Burpの新しいバージョンが利用可能です。
About Burp Scanner	Burp Scannerについて
About	Burp Suiteについて
Accept cookies	cookie受入
Action URL and method	送信先URLとメソッド
Action URL(:?)	送信先URL$1
Action URL, method and fields	送信先URL, メソッド, フィールド
Action URL, method, fields and values	送信先URL, メソッド, フィールド, 値
Action	アクション
Activate License	ライセンスのアクティベート
Activation Failed	アクティベーション失敗
Active and passive scanning	アクティブとパッシブスキャン
Active Scanning Areas	アクティブスキャン対象
Active Scanning Engine	アクティブスキャンエンジン
Active scanning only	アクティブスキャンのみ
Active Scanning Optimization	アクティブスキャン最適化
Active scanning wizard	アクティブスキャンウィザード
Actively scan defined insertion points	定義した挿入ポイントをアクティブスキャン
Actively scan selected items	選択したアイテムをアクティブスキャン
Actively scan this branch	このブランチをアクティブスキャン
Actively scan this host	このホストをアクティブスキャン
Add "skip parameter" rule	"スキップパラメータ"ルールを追加
Add % prefix before each byte	各バイトの前に % を追加
Add §	§追加
Add a new action	新規アクション追加
Add a new client certificate	新規クライアント証明書を追加
Add a new custom parameter location	カスタムパラメータ位置を追加
Add a new extract item	新規抽出アイテムを追加
Add a new form field completion rule	新規フォームフィールド補完ルールを追加
Add a new header	新規ヘッダを追加
Add a new interception rule	新規インターセプションルールを追加
Add a new item by pasting a URL	URLを貼り付けして新規アイテムを追加
Add a new item	新規アイテムを追加
Add a new listener	リスナーを追加
Add a new macro	新規マクロを追加
Add a new match/replace rule	新規マッチ/リプレースルールを追加
Add a new parameter	新規パラメータを追加
Add a new payload processing rule	新規ペイロード処理ルールを追加
Add a new proxy listener	プロキシリスナーを追加
Add a new task	新規タスクを追加
Add a new upstream proxy rule	新規上位プロキシルールを追加
Add comment	コメントを追加
Add cookies received in responses to the session handling cookie jar	レスポンスで受信したcookieをセッションハンドリングcookie jarに追加する
Add discovered content to suite site map	発見したコンテンツをサイトマップに追加
Add entries here to override your computer's DNS resolution.	コンピュータのDNS名前解決を上書きするにはここに追加してください。
Add form field completion rule	フォームフィールド補完ルールを追加
Add from list ... \\[Pro version only\\]	リストから追加 ... [プロ版のみ]
Add from list ...	リストから追加 ...
Add hostname resolution rule	ホスト名解決ルールを追加
Add match/replace rule	検索/置換ルールを追加
Add payload processing rule	ペイロード処理ルールを追加
Add platform authentication credentials	プラットフォーム認証のクレデンシャルを追加
Add prefix	プレフィックスを追加
Add random variations to throttle	ランダムなウェイトを追加する
Add raw payload	生ペイロード追加
Add request header	リクエストヘッダ追加
Add request interception rule	リクエストインターセプトルールを追加
Add response interception rule	レスポンスインターセプトルールを追加
Add SSL passthrough target	SSLパススルーする対象を追加
Add streaming URL	ストリーミングURLを追加
Add suffix	サフィックスを追加
Add the specified item	指定したアイテムを追加
Add to scope	スコープに追加
Add to site map	サイトマップに追加
Add upstream proxy rule	上位プロキシのルールを追加
Add URL to exclude from scope	スコープから除外するURLを追加
Add URL to include in scope	スコープに含めるURLを追加
Add	追加
Additional encrypted strings - optional \\(([0-9]+)\\)	追加の暗号文字列 - オプション ($1)
Additional encrypted strings - optional	追加暗号文字列 - オプション
Advisory	アドバイザリ
After recovering session:	セッション復元後:
After running the macro, invoke a Burp extension action handler:	マクロ実行後、Burp拡張のアクションハンドラを実行する:
Ajax request header manipulation \\(DOM-based\\)(\\s+\\[[0-9]+\\])?	Ajaxリクエストヘッダ操作 (DOMベース)$1
Ajax request header manipulation \\(reflected DOM-based\\)(\\s+\\[[0-9]+\\])?	Ajaxリクエストヘッダ操作 (反射型DOMベース)$1
Ajax request header manipulation \\(stored DOM-based\\)(\\s+\\[[0-9]+\\])?	Ajaxリクエストヘッダ操作 (蓄積型DOMベース)$1
Alerts	警告
Alias	別名
All bits failed the test. 	全ビットテスト不合格
All bits passed the test. 	全ビットテスト合格
All bits passed the test. Note that the FIPS specification for this test only records a fail if the longest run of bits is overly long. However, an overly short longest run of bits also indicates that the sample is not random. Therefore some bits may record a significance level that is below the FIPS pass level even though they do not strictly fail the FIPS test.	全ビットがテスト合格。このテストのFIPS仕様では、ビットの最長連が長すぎる場合に失敗のみを記録することに注意してください。しかし、短すぎるビットの最長連もサンプルがランダムでないことを示します。したがって一部のビットでは、厳密なFIPSテストに不合格でないにもかかわらず、FIPS合格レベルを下回る有意水準を記録する場合があります。
All interfaces	すべてのインタフェース
All issues	すべての問題
All items were successfully cleaned up.	すべてのアイテムを正常に削除しました。
All rows	すべての行
All tests were successful. 	すべてのテストが成功しました。
All tools:	全ツール:
All	すべて
Allow renderer to make HTTP requests \\(for images, etc.\\)	レンダラによるHTTPリクエスト(画像など)送信を許可する
Allow requests to web interface using fully-qualified DNS hostnames	Webインタフェースで完全修飾DNSホスト名を許可する
Allow unsafe renegotiation \\(required for some client certificates\\)	安全ではないネゴシエーションを許可する(一部のクライアント証明書で必要)
Always disable	常に無効化
Always enable	常に有効化
Always take the same action in future	次回以降同じ動作にする
Always	常に実行する
AMF string parameters \\(use with caution\\)	AMF文字列パラメータ(使用注意)
AMF version 	AMF バージョン 
AMF version	AMFバージョン
An error occurred when starting a project with the selected options.	選択したオプションでプロジェクトを開始する際にエラーが発生しました。
An error occurred while attempting to process the activation response. Please check that you are using the latest JRE from Oracle.	アクティベーションレスポンスの処理中にエラーが発生しました。Oracleから最新のJREを使用しているか確認してください。
An error occurred while attempting to verify your license key. Please check that you are using the latest Java Runtime Environment from Oracle, or try re-entering your license key.	ライセンスキーの検証中にエラーが発生しました。Oracleから最新の Java実行環境を使用しているか確認するか、ライセンスキーを再入力してください。
An error occurred while loading the extension. Any output or error messages generated are shown below.	拡張の読み込み中にエラーが発生しました。生成された出力とエラーメッセージが以下に表示されます。
An update is available. Please select the build that you want to download.	アップデートが利用可能です。ダウンロードするビルドを選択してください。
An update is available.	更新が利用可能です。
Analysis [Oo]ptions	解析オプション
Analyze and display AMF messages \\(use with caution\\)	AMFメッセージの解析と表示をする(使用注意)
Analyze now	解析実行
Analyze target	対象の解析
Analyzing character set	文字セット解析中
Analyzing input file: ([0-9]+)% complete	入力ファイルを解析中: $1%完了
Anomalies	異常
Answering "yes" will avoid accumulating project data for out-of-scope items.	"はい"を選択すると、スコープ外アイテムがプロジェクトデータに蓄積されなくなります。
Any header	任意のヘッダ
Any parameter	任意のパラメータ
Any status code with Location header	任意のステータスコードのLocationヘッダ
APIs	API
Append preprocessed payload	プリプロセッサペイロードを末尾に追加
Append to base parameter value	元パラメータ値に追加
Application Login	アプリケーションログイン
April	4月
Are you sure you want to add this item to the site map\\?	このアイテムをサイトマップに追加してもよろしいですか？
Are you sure you want to cancel the download\\?	ダウンロードをキャンセルしてよろしいですか？
Are you sure you want to cancel this rule\\?	このルールをキャンセルしてよろしいですか？
Are you sure you want to cancel this streaming response\\?	ストリーミングレスポンスをキャンセルしてよろしいですか？
Are you sure you want to cancel\\?	キャンセルしてよろしいですか？
Are you sure you want to clear all events\\?	すべてのイベントをクリアしてよろしいですか？
Are you sure you want to clear queues\\?	キューをクリアしてよろしいですか？
Are you sure you want to clear the entire request template\\?	リクエストテンプレート全体をクリアしてよろしいですか？
Are you sure you want to clear the history\\?	履歴をクリアしてよろしいですか？
Are you sure you want to clear the list\\?	リストをクリアしてよろしいですか？
Are you sure you want to close the tracer\\?	トレーサを閉じてよろしいですか？
Are you sure you want to close this Burp Collaborator client\\? Any further interactions from its payloads will be lost.	Burp Collaboratorクライアントを閉じてよろしいですか？そのペイロードからの以降の通信は失われます。
Are you sure you want to close this window\\?	このウィンドウを閉じてよろしいですか？
Are you sure you want to delete the selected items?\\?	選択したアイテムを削除してよろしいですか？
Are you sure you want to exit the wizard\\?	ウィザードを終了してよろしいですか？
Are you sure you want to exit this content discovery session\\?	このコンテンツ探索セッションを終了してもよろしいですか？
Are you sure you want to exit\\?	終了してよろしいですか？
Are you sure you want to listen on all interfaces\\?	すべてのインタフェースで待ち受けてよろしいですか？
Are you sure you want to proceed\\?	続行してよろしいですか？
Are you sure you want to regenerate Burp's CA certificate\\?	BurpのCA証明書を再生成しますか?
Are you sure you want to remove ("[^"]+")\\?	$1を削除してよろしいですか？
Are you sure you want to remove this action\\?	このアクションを削除してよろしいですか？
Are you sure you want to remove this certificate\\?	この証明書を削除してよろしいですか？
Are you sure you want to remove this item\\?	このアイテムを削除してよろしいですか？
Are you sure you want to remove this listener\\?	このリスナーを削除してよろしいですか？
Are you sure you want to remove this macro\\?	このマクロを削除してよろしいですか？
Are you sure you want to remove this rule\\?	このルールを削除してよろしいですか？
Are you sure you want to restore default active scanning areas options\\?	アクティブスキャン対象オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default active scanning engine options\\?	アクティブスキャンエンジンオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default active scanning optimization options\\?	アクティブスキャン最適化オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default application login options\\?	アプリケーションログインオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default attack insertion points options\\?	攻撃挿入ポイントオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default attack results options\\?	攻撃結果オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default Burp Collaborator server options\\?	Burp Collaboratorサーバオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default Burp Extender options\\?	Burp Extenderオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default character set options\\?	文字セットオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default client SSL certificates options\\?	クライアントSSL証明書オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default cookie jar options\\?	cookie jar オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default crawler options\\?	クローラオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default extract grep options\\?	抽出grepオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default form submission options\\?	フォーム送信オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default hostname resolution options\\?	ホスト名解決オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default hotkey options\\?	ホットキーオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default HTML rendering options\\?	HTMLレンダリングオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default HTTP message display options\\?	HTTPメッセージ表示オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default intercept client requests options\\?	クライアントリクエストのインターセプトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default intercept server responses options\\?	サーバレスポンスのインターセプトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default intercept WebSockets messages options\\?	WebSocketメッセージのインターセプトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default Java environment options\\?	Java環境オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default live active scanning　options\\?	ライブアクティブスキャンオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default live capture options\\?	ライブキャプチャオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default live passive scanning　options\\?	ライブパッシブスキャンオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default logging options\\?	ロギングオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default macros options\\?	マクロオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default match and replace options\\?	検索と置換オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default match grep options\\?	マッチgrep　オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default miscellaneous proxy options\\?	その他プロキシオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default miscellaneous proxy settings options\\?	その他プロキシ設定オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default out-of-scope requests options\\?	スコープ外リクエストオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default passive scanning areas options\\?	パッシブスキャン対象オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default passive spidering options\\?	パッシブスパイダリングオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default payloads grep options\\?	ペイロードgrepオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default performance feedback options\\?	パフォーマンスフィードバックオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default platform authentication options\\?	プラットフォーム認証オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default proxy history logging options\\?	プロキシ履歴ログオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default proxy interception options\\?	プロキシインターセプトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default proxy listeners options\\?	プロキシリスナーオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default Python environment options\\?	Python環境オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default redirections options\\?	リダイレクトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default request engine options\\?	リクエストエンジンオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default request headers options\\?	リクエストヘッダオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default response modification options\\?	レスポンス操作オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default Ruby environment options\\?	Ruby環境オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default scheduled tasks　options\\?	スケジュールタスクオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default server SSL certificates options\\?	サーバSSL証明書オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default session handling rules options\\?	セッションハンドリングルールオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default SOCKS proxy options\\?	SOCKSプロキシオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default spider engine options\\?	Spiderエンジンオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default spider scope options\\?	Spiderスコープオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default SSL negotiation options\\?	SSLネゴシエーションオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default SSL negotiation workarounds options\\?	SSL ネゴシエーション回避策オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default SSL passthrough options\\?	SSLパススルーオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default static code analysis options\\?	静的コード解析オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default status 100 responses options\\?	ステータス100レスポンスオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default streaming responses options\\?	ストリーミングレスポンスオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default target scope options\\?	ターゲットスコープオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default temporary files location options\\?	一時ファイル場所オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default timeouts options\\?	タイムアウトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default token analysis options\\?	トークン解析オプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default token handling options\\?	トークンハンドリングオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default upstream proxy servers options\\?	上位プロキシサーバオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore default user interface options\\?	ユーザインタフェースオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for all project options\\?	すべてのプロジェクトオプションをデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for Project options\\?	プロジェクトオプションのデフォルトに戻してよろしいですか？
Are you sure you want to restore defaults for user options\\?	ユーザオプションをデフォルトに戻してよろしいですか？
Are you sure you want to retest the macro\\?	マクロを再テストしてよろしいですか？
Are you sure you want to shut down Burp and launch the downloaded file\\?	Burpをシャットダウンしダウンロードしたファイルを起動してよろしいですか？
Are you sure you want to shut down Burp and run the new version\\?	Burpをシャットダウンし新しいバージョンを起動してよろしいですか？
Are you sure you want to stop\\?	停止してよろしいですか？
Are you sure you want to unload ("[^"]+")\\?	$1をアンロードしてよろしいですか？
ASCII hex	ASCII16進数
ASP.NET debugging enabled(\\s+\\[[0-9]+\\])?	ASP.NETデバッグが有効$1
ASP.NET tracing enabled(\\s+\\[[0-9]+\\])?	ASP.NETトレースが有効$1
ASP.NET ViewState without MAC enabled(\\s+\\[[0-9]+\\])?	MACが無効のASP.NET ViewState$1
At a significance level of 1%, the amount of effective entropy is estimated to be: ([0-9]+) bits.	1%の有意水準において、効果のあるエントロピー量の推測は次の通りです: $1 ビット。
At least one kind of analysis must be selected	少なくとも１種類の解析を選択する必要があります。
Attack configuration	攻撃設定
Attack Insertion Points	攻撃挿入ポイント
Attack Results	攻撃結果
Attack Target	攻撃対象
Attack type:	攻撃タイプ:
Attack	攻撃
August	8月
Auth type	認証タイプ
Authentication [Rr]equired	認証が必要です
Authentication type:	認証タイプ:
