(.*)[Hh]iding ([2-5]xx) responses(.*)	$1 $2レスポンス非表示$3
Allow unsafe renegotiation \\(required for some client certificates\\)	安全ではないネゴシエーションを許可する(一部のクライアント証明書で必要)
Always disable	常に無効化
Always enable	常に有効化
Always	常に実行
AMF string parameters \\(use with caution\\)	AMF文字列パラメータ(使用注意)
AMF version 	AMF バージョン 
AMF version	AMFバージョン
An error occurred while attempting to verify your license key. Please check that you are using the latest Java Runtime Environment from Oracle, or try re-entering your license key.	ライセンスキーの検証中にエラーが発生しました。Oracleから最新の Java実行環境を使用しているか確認するか、ライセンスキーを再入力してください。
An update is available. Please select the build that you want to download.	アップデートが利用可能です。ダウンロードするビルドを選択してください。
Analysis options	解析オプション
Analyze and display AMF messages \\(use with caution\\)	AMFメッセージの解析と表示をする(使用注意)
Analyze now	解析実行
Analyze target	対象の解析
Analyzing input file: ([0-9]+)% complete	入力ファイルを解析中: $1%完了
Any status code with Location header	任意のステータスコードのLocationヘッダ
APIs	API
Append to base parameter value	元パラメータ値に追加
Application Login	アプリケーションログイン
Are you sure you want to cancel the download\\?	ダウンロードをキャンセルしてよろしいですか？
Are you sure you want to cancel this rule\\?	このルールをキャンセルしてよろしいですか?
Are you sure you want to cancel\\?	キャンセルしてよろしいですか？
Are you sure you want to clear all events\\?	全てのイベントをクリアしてよろしいですか？
Are you sure you want to clear the list\\?	リストをクリアしてよろしいですか?
Are you sure you want to close the tracer\\?	トレーサーを閉じてよろしいですか？
Are you sure you want to close this windows\\?	このウィンドウを閉じてよろしいですか？
Are you sure you want to exit the wizard\\?	ウィザードを終了してよろしいですか？
Are you sure you want to exit\\?	終了してよろしいですか？
Are you sure you want to proceed\\?	続行してよろしいですか?
Are you sure you want to regenerate Burp's CA certificate\\?	BurpのCA証明書を再生成しますか？
Are you sure you want to remove ("[^"]+")\\?	$1を削除してよろしいですか？
Are you sure you want to remove this action\\?	このアクションを削除してよろしいですか?
Are you sure you want to remove this certificate\\?	この証明書を削除してよろしいですか？
Are you sure you want to unload ("[^"]+")\\?	$1をアンロードしてよろしいですか？
Are you sure you wanto to shut down Burp and launch the downloaded file\\?	Burpをシャットダウンし、ダウンロードしたファイルを起動してよろしいですか？
ASP.NET debugging enabled	ASP.NETデバッグが有効
ASP.NET tracing enabled	ASP.NETトレースが有効
Attack Insertion Points	攻撃挿入ポイント
Attack Results	攻撃結果
Attack Target	攻撃対象
Attack type:	攻撃タイプ:
Auth type	認証タイプ
Authentication type:	認証タイプ:
Auto §	自動§
Automatic payload positions	自動ペイロードポジション
Automatically add entries on client SSL negotiation failure	クライアントがSSL接続に失敗したエントリーを自動的に追加する
Automatically fix missing or superfluous new lines at end of request	リクエスト最後の不足または余分な改行を自動補正する
Automatically locate library	ローカルライブラリから自動的に探す
Automatically reload extensions on startup	起動時に拡張を自動的に再読込する
Automatically scan the following targets as you browse. Active scan checks send various malicious requests designed to identify common vulnerabilities. Use with caution.	以下の対象をブラウズすると自動的にスキャンを実行します。アクティブスキャンチェックは、一般的な脆弱性を発見するよう設計された様々な悪意のあるリクエストを送信します。注意して使用してください。
Automatically scan the following targets as you browse. Passive scan checks analyze your existing traffic for evidence of vulnerabilities, and do not send any new requests to the target.	以下の対象をブラウズすると自動的にスキャンを実行します。パッシブスキャンチェックは、既存のトラフィックを脆弱性の証拠として分析し、ターゲットに新しいリクエストは送信しません。
Automatically select compatible SSL parameters on negotiation failure	ネゴシエーション失敗時に互換性のあるSSLパラメータを自動的に選択する
Automatically submit these credentials:	このクレデンシャルを自動送信:
Automatically submit using the following rules to assign text field values:	次のルールに従ってテキストフィールドの値を自動送信:
Automatically update Content-Length header when the request is edited	リクエスト編集時にContent-Lengthヘッダを自動的に更新する
Automatically update Content-Length header when the response is edited	レスポンス編集時にContent-Lengthヘッダを自動的に更新する
Auto-scroll to match when text changes	テキスト変更時にマッチした箇所に自動スクロール
Back	戻る
Base string:	元文字列:
Base value of payload position	ペイロードポジションのベース値
Base value:	元値:
Base:	ベース:
Base64-decode before analyzing	解析前にBase64デコード
Base64-decode	Base64デコード
Base64-encode	Base64エンコード
Bind to address:	バインドするアドレス:
Bind to port:	バインドするポート:
Binding	バインド
Blind	ブラインド
Block size \\(usually 8 or 16\\):	ブロックサイズ(通常8か16):
Body encoding:	ボディエンコーディング:
Body parameter values	ボディのパラメータ値
Body to cookie	ボディからcookie
Body to URL	ボディからURL
Boolean condition checks	真偽条件チェック
Boolean operator:	動作条件:
Browser cross-site scripting filter disabled( \\[[0-9]+\\])?	ブラウザXSSフィルタの無効化$1
Builds:	ビルド:
Burp Collaborator Health Check	Burp Collaboratorヘルスチェック
Burp Collaborator is an external service that Burp can use to help discover many kinds of vulnerabilities. You can use the default Collaborator server provided by PortSwigger, or deploy your own instance. You should read the full documentation for this feature and decide which option is most appropriate for you.	Burp Collaboratorは、Burpが多くの種類の脆弱性を見つけることを補助する、外部サービスです。PortSwiggerが提供するデフォルトのCollaboratorサーバか、自分自身のインスタンスを配備して使用できます。この機能に関する全ドキュメントを読み、最も効果的な選択を行うようにしてください。
Burp Collaborator Server	Burp Collaboratorサーバ
Burp Extender APIs	Burp拡張のAPI
Burp Extensions	Burp拡張
Burp Infiltrator \\[Pro version only\\]	Burp Infiltrator [プロ版のみ]
Burp Intruderが使用する定義済みペイロードリストの場所を設定してください。
Burp is up to date.	Burpは最新です。
Burp maintains a cookie jar that stores all of the cookies issued by visited web sites. Session handling rules can use and update these cookies to maintain valid sessions with applications that are being tested. You can use the settings below to control how Burp automatically updates the cookie jar based on traffic from particular tools.	アクセスしたWebサイトが発行した全てのcookieを、Burpはcookie jarに保持します。セッションのルールを処理してテストされているアプリケーションで有効なセッションを維持するためにこれらのクッキーを更新します。テストしているアプリケーションの有効なセッションを保持するために、セッションハンドリングルールがこれらのcookieを使用や更新できます。以下の設定で、特定のツールからのトラフィックに基づいて cookie jar を自動的に更新する方法を制御します。
Burp Proxy uses listeners to receive incoming HTTP requests from your browser. You will need to configure your browser to use one of the listeners as its proxy server.	Burp Proxyはリスナーを使用してブラウザからHTTPリクエストを受け取ります。リスナーの一つをプロキシサーバとしてブラウザに設定する必要があります。
Burp Repeater help	Burp Repeaterヘルプ
Burp Suite documentation	Burp Suiteドキュメント
Bytes transferred:	転送バイト数:
Bytes	バイト
CA Certificate	CA証明書
Cacheable HTTPS response( \\[[0-9]+\\])?	キャッシュ可能なHTTPSレスポンス$1
Caching	キャッシュ
Cancel	キャンセル
Case modifications	変換方法
Case sensitive match	大文字小文字を区別
Case sensitive	大文字小文字を区別
Case-sensitivity:	大文字小文字の区別:
Certificate and private key from PKCS#12 keystore	PKCS#12キーストアから証明書と秘密鍵
Certificate and private key in DER format	DER形式の証明書と秘密鍵
Certificate and private key in PKCS#12 keystore	PKCS#12キーストアの証明書と秘密鍵
Certificate file:	証明書ファイル:
Certificate in DER format	DER形式の証明書
Certificate type:	証明書タイプ:
Certificate	証明書
Change body encoding	ボディのエンコーディング変更
Change font ...	フォント変更 ...
Change parameter locations \\(causes many more scan requests\\):	パラメータ位置の変更(大量のスキャンリクエストが発生します):
Change request method	リクエストメソッド変更
Changes will take effect when Burp is restarted.	変更は再起動後に反映されます。
Character set:	文字セット:
Character Sets	文字セット
Character substitutions	文字置換
characters	文字
Check for updates	更新チェック
Check robots.txt	robots.txtをチェックする
Check session is valid	セッションの有効性をチェックする
Checking for updates	更新を確認中
Choose a file to export the CA certificate.	CA証明書をエクスポートするファイルを選択してください。
Choose a file to export the certificate and private key, and a password to use for the keystore. 		証明書と秘密鍵をエクスポートするファイルを選択し、キーストアに設定するパスワードを入力してください。 $1
Choose a file to export the private key. 	秘密鍵をエクスポートするファイルを選択してください。 
Choose a log file	ログファイルを選択してください
Choose file...	ファイル選択...
Choose folder ...	フォルダ選択 ...
Choose this option if you plan to pass the state file on to someone else, but you do not want them to be able to receive details of any ongoing Burp Collaborator interactions that are associated with your testing. Any new scanning that is performed by the other user will use a different unique identifier, to avoid any interference with other instances of Burp.	ステートファイルを他人に渡す予定があり、しかしテストに関連づけらたCollaboratorとの通信の詳細を継続的に受信させたくない場合に、このオプションを選択してください。他のユーザによって実装される新規スキャンは、Burpの他のインスタンスとの競合を避けるため、異なる一意な識別子を使用します。
Choose which tools you want to restore the configuration of.	設定をリストアするツールを選択してください。
Choose which tools you want to restore the state of.	ステートをリストアするツールを選択してください。
Choose which tools you want to save the configuration of.	設定を保存するツールを選択してください。
Choose which tools you want to save the state of. Note that it is not necessary to save the Spider state. The Spider request queues will be automatically rebuilt based on a restored target site map and scope configuration.	ステートに保存するツールを選択してください。Spiderのステートを保存する必要がない点に注意してください。Spiderのリクエストキューは、リストアしたターゲットのサイトマップやスコープ設定から自動的に再構築されます。
Cipher	暗号
Clean Burp from computer	コンピュータからBurpを削除
Clear §	§クリア
Clear all	全てクリア
Clear histories	履歴削除
Clear queues	キューをクリア
Clear	クリア
Cleartext submission of password( \\[[0-9]+\\])?	パスワードの平文送信$1
Client SSL Certificates?	クライアントSSL証明書
Client-side JSON injection \\(DOM-based\\)( \\[[0-9]+\\])?	クライアントサイドJSONインジェクション(DOMベース)$1
Client-side template injection	クライアントサイドテンプレートインジェクション
Close	閉じる
Collapse branch	ブランチを折りたたむ
Comment this item	このアイテムにコメント
Comments?(:?)	コメント$1
Compare ...	比較 ...
Compare ...	比較 ...
Compare responses	レスポンス比較
Compare site map	サイトマップを比較
Compare site maps	サイトマップ比較
Compare site maps	サイトマップ比較
Compression	圧縮
Condition	条件
Confidence	信頼度
Configure predefined payload lists	定義済みペイロードリストを編集
Configure target details	対象の詳細を設定
Configure the details of the target for the attack.	攻撃対象の詳細を設定してください。
Configure the location of the items that Burp Intruder should use for its predefined payload lists.
Configure the positions where payloads will be inserted into the base request. The attack type determines the way in which payloads are assigned to payload positions - see help for full details.	ペイロードがベースリクエストに挿入される位置を設定します。攻撃タイプは、ペイロードがペイロードポジションに割り当てされる方法を指定します。- 詳細はヘルプを参照してください。
Configure the sources Burp should use for generating filenames to test.	ファイル名のテストを生成する元を設定します。
Configure	設定
Confirm	確認
Connections	接続
Construct string in JavaScript	JavaScriptの文字列生成
Construct string in Microsoft SQL Server	Microsoft SQL Serverの文字列生成
Construct string in MySQL	MySQLの文字列生成
Construct string in Oracle	Oracleの文字列生成
Construct string	文字列生成
Content type incorrectly stated( \\[[0-9]+\\])?	誤ったコンテントタイプ$1
Contents	コンテンツ
Continue indefinitely	無限に繰り返す
Control	コントロール
Convert HTTPS links to HTTP	HTTPSリンクをHTTPに変換
Convert selection	選択箇所を変換
Cookie parameter values	Cookieのパラメータ値
Cookie scoped to parent domain( \\[[0-9]+\\])?	親ドメインスコープのcookie$1
Cookie to body	cookieからボディ
Cookie to URL	cookieからURL
Cookie without HttpOnly flag set( \\[[0-9]+\\])?	HttpOnlyフラグがセットされていないcookie$1
Cookie:	cookie:
Cookies	cookie
Copy ...	コピー ...
Copy as curl command	curlコマンドをコピー
Copy attack config	攻撃設定をコピー
Copy configuration from first tab	最初のタブから設定をコピー
Copy configuration from last tab	最後のタブから設定をコピー
Copy from position:	コピー元ポジション:
Copy links in selected items	選択したアイテムのリンクをコピー
Copy links in this branch	このブランチのリンクをコピー
Copy links in this host	このホストをリンクをコピー
Copy links?	リンクをコピー
Copy project	プロジェクトコピー
Copy selected URLs	選択したURLをコピー
Copy to clipboard	クリップボードにコピー
Copy to file	ファイルにコピー
Copy URL	URLコピー
Copy URLs in this branch	このブランチのURLをコピー
Copy URLs in this host	このホストをURLをコピー
Copy URLs?	URLをコピー
Copy	コピー
Correlation	相関
Count	数
Crawler Settings	クローラ設定
Cross-domain Referer leakage( \\[[0-9]+\\])?	クロスドメインのReferer漏洩$1
Cross-domain script include( \\[[0-9]+\\])?	クロスドメインのスクリプト読み込み$1
Cross-site request forgery	クロスサイトリクエストフォージェリ
Cross-site scripting \\(DOM-based\\)	クロスサイトスクリプティング(DOMベース)
Cross-site scripting \\(reflected DOM-based\\)	クロスサイトスクリプティング(DOMベース反射型)
Cross-site scripting \\(reflected\\)	クロスサイトスクリプティング(反射型)
Cross-site scripting \\(stored\\)	クロスサイトスクリプティング(蓄積型)
Current Action	現在のアクション
Custom location:	カスタム箇所:
Cut	切り取り
Data	データ
Debug ID:	デバッグID:
Default to this option in future	次回以降このオプションをデフォルトにする
Define behavior dependent on session validity:	セッション有効性に依存する動作の定義:
Define the in-scope targets for your current work. This configuration affects the behavior of tools throughout the suite. All fields take regex strings. The easiest way to configure scope is to browse to your target and use the context menus in the site map to include or exclude URL paths.	現在の作業用に、スコープ内のターゲットを定義します。この設定はツール全体での動作に影響を与えます。すべてのフィールドは正規表現で指定します。ターゲットをブラウザで参照し、サイトマップのコンテキストメニューでURLパスを含めるまたは除外すると、スコープ設定が簡単です。
Define the start directory for the content discovery session, and whether files or directories should be targeted.	コンテンツ探索セッションを開始するディレクトリと、対象となるファイルやディレクトリを定義します。
Delete branch	ブランチを削除
Delete byte(.*)	バイト削除$1
Delete host	ホストを削除
Delete issue	問題を削除
Delete issues for selected branches	選択したブランチの問題を削除
Delete issues for this host	このホストの問題を削除
Delete selected issues	選択した問題を削除
Delete selected items	洗濯したアイテムを削除
Delete	削除
Description(:?)	詳細$1
Destination host(:?)	宛先ホスト$1
Destination host, may include wildcards	宛先ホスト, ワイルドカードが使えます
Detach (.*)	$1を切り離し
Details?	詳細
Detect custom "not found" responses	カスタマイズされた"Not Found"レスポンスを検知する
Diagnostics	診断
Direction	方向
Directories only	ディレクトリのみ
Disable Java SNI extension \\(requires restart\\)	Java SNI拡張を無効にする(要再起動)
Disable logging to history and site map	履歴とサイトマップへのログを無効にする
Disable web interface at http://burp	http://burp のWebインタフェースを無効にする
Discover content	コンテンツ探索
Discover:	探索:
Discovery Session Status	探索セッションのステータス
Display as raw bytes	生バイトとして表示
Display	表示
Do a passive scan	パッシブスキャン実行
Do an active scan	アクティブスキャンを実行
Do DNS lookups over SOCKS proxy	SOCKSプロキシ上でDNS検索をする
Do illegal hex	不正な16進数表記
Do illegal UTF-8	不正なUTF-8
Do intercept	インターセプト有効
Do not include Burp Collaborator identifier in the state file	Burp Collaboratorの識別子をステートファイルに含めない
Do not save	保存しない
Do platform authentication	プラットフォーム認証を行う
Domain hostname(:?)	ドメインホスト名$1
Domain name resolution:	ドメイン名解決:
Domain(:?)	ドメイン$1
Don't intercept requests	インターセプトしないリクエスト
Don't intercept responses	レスポンスをインターセプトしない
Don't perform static code analysis	静的コード解析を実行しない
Don't restore	リストアしない
Don't scan	スキャンしない
Don't submit forms	フォームを送信しない
Don't submit login forms	ログインフォームを送信しない
Don't use Burp Collaborator	Burp Collaboratorを使用しない
Down	下へ
Download Jython	Jythonをダウンロード
Download other installers	他のインストーラをダウンロード
Downloading( \\([0-9]+%\\))?	ダウンロード中$1
Drop all out-of-scope requests	スコープ外の全てのリクエストを破棄する
Drop	破棄
Duplicate cookies set( \\[[0-9]+\\])?	重複cookie$1
Duplicate hotkeys are configured	ホットキー設定が重複しています
Duplicate	複製
Dynamic update	動的に更新
Each Burp project has a unique identifier that is used to track any Burp Collaborator interactions that are associated with the project. You need to decide whether to save this identifier in your state file.	プロジェクトに紐付くBurp Collaboratorとの通信を識別するための一意な識別子を、各Burpプロジェクトは持っています。この識別子をステートファイルに保存するか決定する必要があります。
Each installation of Burp generates its own CA certificate that Proxy listeners can use when negotiating SSL connections. You can import or export this certificate for use in other tools or another installation of Burp.	Burpのインストールごとに、プロキシリスナーがSSL接続を確立する際に使用する独自のCA証明書を生成します。他のツールや他のBurp用に、この証明書のインポートやエクスポートができます。
Edit hotkeys	ホットキー編集
Edit list	リスト編集
Edit	編集
Edited	編集済
Email addresses disclosed( \\[[0-9]+\\])?	メールアドレス漏洩$1
Enable algorithms blocked by Java security policy \\(requires restart\\)	Javaセキュリティポリシーでブロックされたアルゴリズムを有効にする(要再起動)
Enable disabled form fields	無効化されたフォームフィールドを有効化
Enable interception at startup:	起動時にインターセプトを有効:
Enabled	有効
Encoded as ASCII hex	ASCII 16進数エンコード
Encrypted data to shuffle:	シャッフルする暗号データ:
End time	終了時間
End	末尾
Engagement tools \\[Pro version only\\]	関連ツール [プロ版のみ]
Engagement tools	関連ツール
Enter a new item	新規アイテムを入力
Enter license key	ライセンスキーを入力してください
Enter regex or leave blank	正規表現で入力するか、空白のまま
Enter regex, IP range or leave blank	正規表現かIPレンジを入力するか、空白のまま
Enter the details of the payload processing rule.	ペイロード処理ルールの詳細を入力してください。]
Enter the details of the upstream proxy rule. You can use wildcards to specify destination hosts \\(\\* matches zero or more characters, \\? matches any character except a dot\\). Leave the proxy host blank to connect directly for the specified destination host.	上位プロキシの詳細を入力してください。宛先ホストの指定にワイルドカード(*は０文字以上の文字、?はドット以外の任意の文字にマッチ)を使用できます。指定したホストに直接接続させるには、プロキシホストを空白のままにしてください。
Enter the details of when the task should run. The task can be scheduled to run once at a specific time, or to repeat at a defined interval.	タスクスケジュールを実行する詳細時間を入力してください。タスクは、指定した時間に１度だけ実行するか、指定した間隔で繰り返し実行できます。
Enter the hostname and IP address. Burp will use this setting instead of the DNS resolution provided by your computer.	ホスト名とIPアドレスを入力してください。Burpは、コンピュータによるDNS名前解決の代わりにこの設定を使います。
Enter the master password to encrypt stored passwords. A strong password is recommended.	パスワードストアを暗号化するマスターパスワードを入力してください。強固なパスワードを推奨します。
Enter the platform credentials for the specified destination host.	宛先ホストのプラットフォームクレデンシャルを入力してください。
Entire body \\(for relevant content types\\)	ボディ全体(関連するコンテントタイプの場合)
Error	エラー
Error-based	エラーベース
Errors(:?)	エラー$1
Errors:	エラー:
Estimated encodings:	予想エンコード数:
Examples?(:?)	例$1
Exclude from scope	スコープから除外
Exclude HTTP headers	HTTPヘッダを除外
Exit	終了
Expand branch	ブランチを展開
Expand requested items	リクエストしたアイテムを展開
Export comments	コメントをエクスポート
Export Options	エクスポートオプション
Export	エクスポート
Expression	正規表現
Extension action handler:	アクションハンドラ拡張:
Extension Details	拡張の詳細
Extension file \\(\\.(jar|py|rb)\\):	拡張ファイル(.$1):
Extension generated issue	拡張で作成された問題
Extension loaded	拡張読み込み済み
Extension type:	拡張タイプ:
Extension	拡張子
Extensions let you customize Burp's behavior using your own or third-party code.	自分自身または第三者のコードでBurpの機能をカスタマイズできます。
Extensions	拡張
External / out-of-band interaction	外部/範囲外の操作
Extract the following items from responses:	レスポンスから以下のアイテムを抽出する:
Failed domain name resolution:	名前解決失敗時の再試行:
Failed to load certificate: keystore password was incorrect	証明書を読み込めません: キーストアパスワードが間違っています
Failed to open file	ファイルを開けません
Failed to open folder	フォルダを開けません
False positive	誤検知
Feedback only contains technical information about Burp's internal functioning, and does not identify you in any way. If you do report a bug via email, you can help us diagnose any problems that your instance of Burp has encountered by including your debug ID.	フィードバックにはBurpの内部機能に関する技術情報のみが含まれ、あなたの識別はできません。バグを電子メールで報告する場合、あなたのデバッグIDを含めると、発生した問題の診断の助けになります。
Field name	フィールド名
Field value	フィールド値
File \\(PKCS#12\\)	ファイル(PKCS#12)
File extension	ファイル拡張子
File path manipulation	ファイルパスマニピュレーション
File path traversal / manipulation	ファイルパストラバーサル/操作
File path traversal	ファイルパストラバーサル
File size: ([0-9,]+) bytes?	ファイルサイズ: $1 バイト
File was saved successfully.	ファイルを正常に保存しました。
File(:?)	ファイル$1
Filenames	ファイル名
Files and directories	ファイルとディレクトリ
Files only	ファイルのみ
Filter by annotation	注釈でフィルタ
Filter by extension	拡張子でフィルタ
Filter by file extension	拡張子でフィルタ
Filter by listener	リスナーでフィルタ
Filter by MIME type	MIMEタイプでフィルタ
Filter by request type	リクエストタイプでフィルタ
Filter by search term	検索語でフィルタ
Filter by status code	ステータスコードでフィルタ
Filter:	フィルタ:
Find comments	コメント検索
Find references	参照元検索
Find scripts	スクリプト検索
Finish	完了
FIPS long run	FIPS 最長連検定
FIPS monobit	FIPS 1次元度数検定
FIPS poker	FIPS ポーカ検定
FIPS runs	FIPS 連検定
Fixed	固定
Flag result items with responses matching these expressions:	これらの正規表現にマッチするレスポンスにフラグをセットする:
Folder for loading library JAR files \\(optional\\):	ライブラリのJARファイルを読み込むフォルダ(オプション):
Folder for loading modules \\(optional\\):	モジュールを読み込むフォルダ(オプション):
Follow redirection	リダイレクトをたどる
Follow redirections where necessary	必要な箇所でリダイレクトをたどる
Follow redirections	リダイレクトをたどる
Follow redirections(:?)	リダイレクトをたどる$1
Font size:	フォントサイズ:
Font	フォント
For this directory	このディレクトリ
For this file extension	このファイル拡張子
Force use of SSL	SSLを強制利用
Form field:	フォームフィールド
Form Submission	フォーム送信
Format of original data:	元値のフォーマット:
Format:	形式:
Forms queued:	キューに入っているフォーム:
Forms	フォーム
Forward	転送
Frameable response \\(potential Clickjacking\\)( \\[[0-9]+\\])?	フレーム化可能なレスポンス(クリックジャッキングの可能性)$1
Frameable responses \\("Clickjacking"\\)	フレーム化可能なレスポンス("クリックジャッキング")
Generate a CA-signed certificate with a specific hostname:	指定したホスト名でCAが署名した証明書を生成する:
Generate CA-signed per-host certificates	ホストごとにCAが署名した証明書を生成する
Generate CSRF PoC	CSRF PoC生成
Generate	
Getting [sS]tarted	入門
Go back	戻る
Go	送信
Handle as ordinary forms	通常のフォームとして処理
Hardware token or smart card \\(PKCS#11\\)	ハードウェアトークンやスマートカード(PKCS#11)
Header manipulation	ヘッダ操作
Headers	ヘッダ
Help	ヘルプ
Hex formatting	16進数フォーマット
Hide all	全て非表示
Hide empty folders	空のフォルダを非表示
Hide finished items	完了したアイテムを非表示
Hide incoming messages	受信メッセージを非表示
Hide items without responses	レスポンスのないアイテムを非表示
Hide not-found items	存在しないアイテムを非表示
Hide outgoing messages	送信メッセージを非表示
Hide:	非表示:
Highlight request parameters	リクエストパラメータを色付けする
Highlight response syntax	レスポンスの構文を色付けする
Highlight	色付け
Highlight(\\s*)	色付け
History logging is disabled	ログ記録は無効です
Host / IP range	ホスト/IPレンジ
Host or IP range:	ホストまたはIPレンジ:
Host	ホスト
Host, may include wildcards, or leave blank to apply to all hosts	ホスト、ワイルドカードが使えます、または全てのホストの場合は空白のまま
Host:	ホスト:
Hostname Resolution	ホスト名解決
Hostname(:?)	ホスト名$1
Hotkeys?	ホットキー
How many:	個数:
HTML does not specify charset	文字コードが設定されていないHTML
HTML does not specify charset( \\[[0-9]+\\])?	文字コードが指定されていないHTML$1
HTML Rendering	HTMLレンダリング
HTML5 cross-origin resource sharing( \\[[0-9]+\\])?	HTML5 クロスオリジンのリソース共有漏洩$1
HTML-decode	HTMLデコード
HTML-encode all characters \\(hex entities\\)	全ての文字をHTMLエンコード(16進数数値文字参照)
HTML-encode all characters \\(numeric entities\\)	全ての文字をHTMLエンコード(10進数数値文字参照)
HTML-encode all characters	全ての文字をHTMLエンコード
HTML-encode key characters	特殊文字をHTMLエンコード
HTTP header injection	HTTPヘッダインジェクション
HTTP headers	HTTPヘッダ
HTTP history	HTTP履歴
HTTP Message Display	HTTPメッセージ表示
HTTP PUT method is enabled	HTTP PUTメソッドが有効
HTTP response header injection	HTTPレスポンスヘッダインジェクション
HTTP TRACE method is enabled( \\[[0-9]+\\])?	TRACEメソッドが有効$1
If not already present, add as:	存在しない場合、次の値として追加:
If session is invalid, perform the action below:	セッションが無効な場合、以下のアクションを実行する:
If session is valid, don't process any further rules or actions for this request	セッションが有効な場合、このリクエストにさらにルールやアクションを処理しない
Ignore links to non-text content	テキスト以外のコンテンツへのリンクを無視する
Ignore tokens whose length deviates by	長さの異なるトークンを無視
Ignore	無視する
Illegal hex characters	不正な16進数文字
Illegal UTF-8 continuation bytes	不正なUTF-8継続バイト
Images	画像
Immediately	すぐに
Import / export CA certificate	CA証明書のインポート/エクスポート
Import	インポート
In current browser session	現在のブラウザのセッションを使う
In current session	現在のセッション
In original session	元のセッションを使う
In	
Include all URLs	全てのURLを含める
Include Burp Collaborator identifier in the state file	ステートファイルにBurp Collaborator識別子を含める
Include in scope	スコープ内
Include URLs in export	エクスポートにURLを含む
Individuate forms by:	フォームの同一性判断:
Information disclosure	情報漏洩
Informed	情報収集
Initial payload for first request:	最初のリクエストの初期ペイロード:
