    Send    	    送信    
(.*)[Dd]iscarding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer)((, (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))*)( and (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))(.*)	$1$2$3 ,$7を破棄$8
(.*)[Dd]iscarding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer|Extender)(;.*|$)	$1$2を破棄$3
(.*)[Dd]iscarding items without responses(;.*|$)	$1レスポンスのないアイテムを破棄$2
(.*)[Dd]iscarding non-parameterized items and items without responses(;.*|$)	$1パラメータなし, レスポンスのないアイテムを破棄$2
(.*)[Dd]iscarding non-parameterized items(;.*|$)	$1パラメータなしアイテムを破棄$2
(.*)[Dd]iscarding out of scope and non-parameterized items and items without responses(;.*|$)	$1スコープ外, パラメータなし, レスポンスのないアイテムを破棄$2
(.*)[Dd]iscarding out of scope and non-parameterized items(;.*|$)	$1スコープ外, パラメータなしアイテムを破棄$2
(.*)[Dd]iscarding out of scope items and items without responses(;.*|$)	$1スコープ外, レスポンスのないアイテムを破棄$2
(.*)[Dd]iscarding out of scope items(;.*|$)	$1スコープ外アイテムを破棄$2
(.*)[Dd]iscarding session handling requests(;.*|$)	$1セッションハンドリングリクエストを破棄$2
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?(HTML|script|XML|CSS|flash) content(.*)	$1$2$3$4$5$6を非表示$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?flash and general binary content(.*)	$1$2$3$4$5flash, バイナリ全般を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general binary content(.*)	$1$2$3$4$5バイナリ全般を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and flash content(.*)	$1$2$3$4$5テキスト全般, flashを非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text and image content(.*)	$1$2$3$4$5テキスト全般, 画像を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text content(.*)	$1$2$3$4$5テキスト全般を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text(, flash)? and general binary content(.*)	$1$2$3$4$5テキスト全般$6, バイナリ全般を非表示$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image and flash content(.*)	$1$2$3$4$5テキスト全般, 画像, flashを非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?general text, image(, flash)? and general binary content(.*)	$1$2$3$4$5テキスト全般, 画像$6, バイナリ全般を非表示$7
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image and flash content(.*)	$1$2$3$4$5画像, flashを非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image content(.*)	$1$2$3$4$5画像を非表示$6
(.*)[Hh]iding (HTML, )?(script, )?(XML, )?(CSS, )?image(, flash)? and general binary content(.*)	$1$2$3$4$5画像$6, バイナリ全般を非表示$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and (script|XML|CSS|flash) content(.*)	$1$2$3$4$5, $6を非表示$7
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general binary content(.*)	$1$2$3$4$5, バイナリ全般を非表示$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and general text content(.*)	$1$2$3$4$5, テキスト全般を非表示$6
(.*)[Hh]iding (HTML|script|XML|CSS)(, script)?(, XML)?(, CSS)? and image content(.*)	$1$2$3$4$5, 画像を非表示$6
(.*)[Hh]iding ([2-5]xx) responses(.*)	$1$2レスポンス非表示$3
(.*)[Hh]iding ([2-5]xx, )?([2-5]xx, )?((, )?[2-5]xx) and ([2-5]xx) responses(.*)	$1$2$3$4$5, $6レスポンス非表示$7
(.*)[Hh]iding empty folders(.*)	$1空のフォルダ非表示$2
(.*)[Hh]iding incoming items(.*)	$1受信アイテムを非表示$2
(.*)[Hh]iding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer)((, (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))*)( and (Proxy|Scanner|Intruder|Repeater|Sequencer|Extender))(.*)	$1$2$3 ,$7を非表示$8
(.*)[Hh]iding items from (Target|Proxy|Scanner|Intruder|Repeater|Sequencer|Extender)(;.*|$)	$1$2を非表示$3
(.*)[Hh]iding non-parameterized and not found items(.*)	$1パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding non-parameterized items(.*)	$1パラメータなしアイテムを非表示$2
(.*)[Hh]iding not found items(.*)	$1存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope and incoming items(.*)	$1スコープ外, 受信アイテムを非表示$2
(.*)[Hh]iding out of scope and non-parameterized items(.*)	$1スコープ外, パラメータなしアイテムを非表示$2
(.*)[Hh]iding out of scope and not found items(.*)	$1スコープ外, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope and outgoing items(.*)	$1スコープ外, 送信アイテムを非表示$2
(.*)[Hh]iding out of scope and unrequested items(.*)	$1スコープ外, 未リクエストアイテムを非表示$2
(.*)[Hh]iding out of scope and unresponded items(.*)	$1スコープ外, レスポンスなしアイテムを非表示$2
(.*)[Hh]iding out of scope items(.*)	$1スコープ外アイテムを非表示$2
(.*)[Hh]iding out of scope, non-parameterized and not found items(.*)	$1スコープ外, パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope, outgoing and incoming items(.*)	$1スコープ外, 送信, 受信アイテムを非表示$2
(.*)[Hh]iding out of scope, unrequested and non-parameterized items(.*)	$1スコープ外, 未リクエスト, パラメータなしアイテムを非表示$2
(.*)[Hh]iding out of scope, unrequested and not found items(.*)	$1スコープ外, 未リクエスト, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope, unrequested, non-parameterized and not found items(.*)	$1スコープ外, 未リクエスト, パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding out of scope, unresponded and non-parameterized items(.*)	$1スコープ外, レスポンスなし, パラメータなしアイテムを非表示$2
(.*)[Hh]iding outgoing and incoming items(.*)	$1送信, 受信アイテムを非表示$2
(.*)[Hh]iding outgoing items(.*)	$1送信アイテムを非表示$2
(.*)[Hh]iding specific extensions(.*)	$1指定した拡張子を非表示$2
(.*)[Hh]iding unrequested and non-parameterized items(.*)	$1未リクエスト, パラメータなしアイテムを非表示$2
(.*)[Hh]iding unrequested and not found items(.*)	$1未リクエスト, 存在しないアイテムを非表示$2
(.*)[Hh]iding unrequested items(.*)	$1未リクエストアイテムを非表示$2
(.*)[Hh]iding unrequested, non-parameterized and not found items(.*)	$1未リクエスト, パラメータなし, 存在しないアイテムを非表示$2
(.*)[Hh]iding unresponded and non-parameterized items(.*)	$1レスポンスなし, パラメータなしアイテムを非表示$2
(.*)[Hh]iding unresponded items(.*)	$1レスポンスなしアイテムを非表示$2
(.*)[Mm]atching expression (.*)	$1一致 $2
(.*)[Mm]atching regex (.*)	$1正規表現に一致 $2
(.*)[Nn]ot matching expression (.*)	$1一致しない $2
(.*)[Nn]ot matching regex (.*)	$1正規表現に一致しない $2
(.*)[Ss]howing only commented and highlighted items(.*)	$1コメント付き, 色付けしたアイテムのみ表示$2
(.*)[Ss]howing only commented items(.*)	$1コメント付きアイテムのみ表示$2
(.*)[Ss]howing only highlighted items(.*)	$1色付けしたアイテムのみ表示$2
(.*)[Ss]howing only listener (.*)	$1ポート$2のリスナーのみ表示
(.*)[Ss]howing specific extensions(.*)	$1指定した拡張子を表示$2
(.*)\[Pro version only\](.*)	$1[プロ版のみ]$2
(.*)\[Pro version with 64-bit Java only\](.*)	$1[64ビットJavaのプロ版のみ]$2
(.*)\[disk projects only\](.*)	$1[ディスクプロジェクトのみ]$2
(.*: )FIPS-compliant.	$1FIPS準拠。
(.*: )excellent.	$1非常に良い。
(.*: )extremely poor.	$1非常に悪い。
(.*: )good.	$1良い。
(.*: )poor.	$1悪い。
(.*: )reasonable.	$1適当。
(.*: )very good.	$1とても良い。
(.*: )very poor.	$1とても悪い。
(.*\.) Estimating time remaining\.\.\.	$1 残り時間見積中...
(Leave blank to run once only)	(一度のみ実行する場合は空白のまま)
([,0-9]+) bytes \| ([0-9]+) millis	$1バイト | $2ミリ秒
([,0-9]+) bytes?	$1バイト
([,0-9]+) highlights?	$1件ハイライト
([,0-9]+) issues selected	$1問題点を選択
([,0-9]+) items selected	$1アイテムを選択
([,0-9]+) results selected	$1結果を選択
([,0-9]+) submissions?	$1件送信
([0-9]+) \(approx\)	約$1
([0-9]+) \(max\)	$1 (最大)
([0-9]+) anomalies were identified in this test:	このテストで$1個の異常が見つかりました: 
([0-9]+) bits failed the test. The following ([0-9]+) bits passed the test: ([0-9]+)((, [0-9]+)*).(.*)	$1ビットが不合格。次の$2ビットは合格: $3$4$6
([0-9]+) bits passed the test. The following ([0-9]+) bits failed the test: ([0-9]+)((, [0-9]+)*).(.*)	$1ビットが合格。次の$2ビットは不合格: $3$4$6
([0-9]+) items added to site map	サイトマップに$1件追加
([0-9]+) items?	$1個のアイテム
([0-9]+) letter words	$1文字単語
([0-9]+) locations crawled	$1箇所クロール
([0-9]+) payload positions?	$1個のペイロードポジション
([0-9]+) requests \(([0-9]+) errors\)	$1リクエスト($2件エラー)
([0-9]+) responses processed	$1レスポンス処理
([0-9]+) responses queued	キューに$1レスポンス追加
([0-9]+) results?	$1件の結果
([0-9]+) tokens were padded with (.*) at the end.	$1トークンは末尾を$2でパディングされました。
([0-9]+) tokens were padded with (.*) at the start.	$1トークンは先頭を$2でパディングされました。
([0-9]+)% complete	$1%完了
([0-9]+)\. Audit of (.*)	$1. $2の診断
([0-9]+)\. Crawl and audit of (.*)	$1. $2のクロールと診断
([0-9]+)\. Crawl of (.*)	$1. $2のクロール
([0-9]+)\. Intruder attack of (.*)	$1. Intruder攻撃 $2
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. $2,$3からライブ診断 (全トラフィック)
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. $2,$3からライブ診断 (カスタムスコープ)
([0-9]+)\. Live audit from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. $2,$3からライブ診断 (suiteスコープ)
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(all traffic\)	$1. $2からライブ診断 (全トラフィック)
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(custom scope\)	$1. $2からライブ診断 (カスタムスコープ)
([0-9]+)\. Live audit from (Proxy|Repeater|Intruder) \(suite scope\)	$1. $2からライブ診断 (suiteスコープ)
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(all traffic\)	$1. Proxy,Repeater,Intruderからライブ診断 (全トラフィック)
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(custom scope\)	$1. Proxy,Repeater,Intruderからライブ診断 (カスタムスコープ)
([0-9]+)\. Live audit from Proxy, Repeater and Intruder \(suite scope\)	$1. Proxy,Repeater,Intruderからライブ診断 (suiteスコープ)
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(all traffic\)	$1. $2,$3からライブパッシブクロール (全トラフィック)
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(custom scope\)	$1. $2,$3からライブパッシブクロール (カスタムスコープ)
([0-9]+)\. Live passive crawl from (Proxy|Repeater) and (Repeater|Intruder) \(suite scope\)	$1. $2,$3からライブパッシブクロール (suiteスコープ)
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(all traffic\)	$1. $2からライブパッシブクロール (全トラフィック)
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(custom scope\)	$1. $2からライブパッシブクロール (カスタムスコープ)
([0-9]+)\. Live passive crawl from (Proxy|Repeater|Intruder) \(suite scope\)	$1. $2からライブパッシブクロール (suiteスコープ)
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(all traffic\)	$1. Proxy,Repeater,Intruderからライブパッシブクロール (全トラフィック)
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(custom scope\)	$1. Proxy,Repeater,Intruderからライブパッシブクロール (カスタムスコープ)
([0-9]+)\. Live passive crawl from Proxy, Repeater and Intruder \(suite scope\)	$1. $Proxy,Repeater,Intruderからライブパッシブクロール (suiteスコープ)
([0-9]+)\. Passive scans	$1. パッシブスキャン
([0-9]+)h ([0-9]+)m ([0-9]+)s	$1時間 $2分 $3秒
([0-9]+)m ([0-9]+)s	$1分 $2秒
([0-9]+)s	$1秒
([1-9][0-9]*) match(es)?	$1件マッチ
([A-Z]+) request to (.*)	$2 への $1 リクエスト
(only available for disk-based projects)	(ディスクベースのプロジェクトでのみ使用可能)
0 matches	マッチなし
0 positions	ポジションなし
1 (LSB)	1(最下位ビット)
1. Click the "Copy Clickbandit to clipboard" button below. This will copy the Clickbandit script to your clipboard.	1. 下の"Clickbanditをクリップボードにコピー"ボタンをクリックします。これにより、Clickbanditスクリプトがクリップボードにコピーされます。
1. Install the Burp Suite Navigation Recorder browser extension (Chrome only).	1. Burp Suite Navigation Recorderブラウザ拡張機能をインストールする(Chromeのみ)。
1. Using your browser, go to the following URL:	1. ブラウザを使用して、次のURLにアクセスします:
2. Copy the following data into the activation request field in your browser:	2. ブラウザのアクティベーションリクエストフィールドに、次のデータをコピーします:
2. In your browser, visit the web page that you want to test, in the usual way.	2. ブラウザで、テストしたいWebページに通常通りアクセスします。
2. When prompted, allow the extension to use incognito mode.	2. プロンプトが表示されたら、拡張機能でシークレットモードの使用を許可する。
2xx  [success]	2xx  [成功]
3. In Chrome, click on the extension and select "Start recording" to open a new incognito window.	3. Chromeで拡張機能をクリックし、"記録を開始"を選択して、新しいシークレットウィンドウを開く。
3. In your browser, open the web developer console. This might also be called "developer tools" or "JavaScript console".	3. ブラウザで、Web開発者コンソールを開きます。これは"デベロッパーツール"または"JavaScriptコンソール"とも呼ばれます。
3. Paste below the data from the activation response field in your browser:	3. ブラウザのアクティベーションレスポンスフィールドから、次にデータを貼り付けます:
3xx  [redirection]	3xx  [リダイレクト]
3xx status code with Location header	Locationヘッダ付きの3xxステータスコード
4. Navigate to your login page and complete the login process.	4. ログインページに移動して、ログイン処理を完了する。
4. Paste the Clickbandit script into the web developer console, and press enter.	4. ClickbanditスクリプトをWeb開発者コンソールに貼り付け、Enterを押します。
4xx  [request error]	4xx  [リクエストエラー]
4xx  [request error]    	4xx  [リクエストエラー]    
5. Click on the extension and stop the recording.	5. 拡張機能をクリックして、記録を停止する。
5xx  [server error]	5xx  [サーバエラー]
6. Click "Copy to clipboard" and paste the script into the field above.	6. "クリップボードにコピー"をクリックし、上のフィールドにスクリプトを貼り付ける。
8 (MSB)	8(最上位ビット)
A backup of the project has been found, please indicate whether you would like to attempt a repair of the project or open the backup.	プロジェクトのバックアップが見つかりました。プロジェクトの修復を試みるか、バックアップファイルを開くか指定してください。
A built-in configuration has the same name	組み込み設定と同じ名前です。
A communications error occurred. Please review your connection settings and retry, or attempt to perform manual activation.	通信エラーが発生しました。接続設定を確認して再試行するか、手動アクティベーションを実行してください。
A configuration with the name "(.*)" already exists	"$1"という名前の設定は既に存在します
A macro is a sequence of one or more requests. You can use macros within session handling rules to perform tasks such as logging in to the application, obtaining anti-CSRF tokens, etc.	マクロは、1つまたは複数のリクエストのシーケンスです。セッションハンドリングルール内でマクロを使用すると、アプリケーションへのログインや、CSRF対策トークンの取得などのタスクを実行できます。
A macro is a sequence of one or more requests. You can use macros within session handling rules to perform tasks such as logging in to the application, obtaining anti-CSRF tokens, etc. Use these settings to manage your macros.	マクロは、1つまたは複数のリクエストのシーケンスです。セッションハンドリングルール内でマクロを使用すると、アプリケーションへのログインや、CSRF対策トークンの取得などのタスクを実行できます。マクロを管理する設定です。
A new version of Burp is available.	Burpの新しいバージョンが利用可能です。
A resource pool is a grouping of tasks that share a quota of network resources. Each resource pool can be configured with its own throttling settings which control the number of requests that can be made concurrently, or the rate at which requests can be made, or both.	リソースプールは、ネットワークリソースの割り当てを共有するタスクをグループ化したものです。各リソースプールはそれぞれ、同時リクエスト数、またはリクエストの速度、またはその両方を調整できます。
AMF string parameters (use with caution)	AMF文字列パラメータ(使用注意)
AMF version(\s*)	AMFバージョン$1
API Keys	APIキー
API key is only available at time of initial generation	APIキーは初期生成時にのみ利用可能です
API keys are secrets and should be handled carefully. You cannot retrieve an existing API key from Burp after it has been created.	APIキーは秘密で、慎重に扱う必要があります。APIキーは、作成後、あとになってからBurpから取得はできません。
APIs	API
ASCII hex	ASCII16進数
ASP.NET ViewState without MAC enabled(\s+\[[0-9]+\])?	MACが無効のASP.NET ViewState$1
ASP.NET debugging enabled(\s+\[[0-9]+\])?	ASP.NETデバッグが有効$1
ASP.NET tracing enabled(\s+\[[0-9]+\])?	ASP.NETトレースが有効$1
About	Burp Suiteについて
About Burp Scanner	Burp Scannerについて
Accept cookies	cookie受入
Achieve greater coverage and gain a better understanding of a site's security posture. Scanning time depends heavily on the target site's size and complexity.	より高い網羅性を達成し、サイトのセキュリティ状況をより深く理解できます。スキャンにかかる時間は、対象サイトの規模や複雑さに大きく依存します。
Action	アクション
Action URL	送信先URL
Action URL and method	送信先URLとメソッド
Action URL, method and fields	送信先URL, メソッド, フィールド
Action URL, method, fields and values	送信先URL, メソッド, フィールド, 値
Action URL:	送信先URL:
Actions	アクション
Activate License	ライセンスのアクティベート
Activation Failed	アクティベーション失敗
Active Scanning Areas	アクティブスキャンエリア
Active Scanning Engine	アクティブスキャンエンジン
Active Scanning Optimization	アクティブスキャン最適化
Active and passive scanning	アクティブとパッシブスキャン
Active checks	アクティブチェック
Active phases	アクティブフェーズ
Active scanning only	アクティブスキャンのみ
Active scanning wizard	アクティブスキャンウィザード
Actively scan all in-scope traffic through Proxy	Proxyを通過するすべてのスコープ内トラフィックをアクティブスキャン
Actively scan defined insertion points	定義した挿入ポイントをアクティブスキャン
Actively scan selected items	選択したアイテムをアクティブスキャン
Actively scan this branch	このブランチをアクティブスキャン
Actively scan this host	このホストをアクティブスキャン
Add	追加
Add "skip parameter" rule	"スキップパラメータ"ルールを追加
Add % prefix before each byte	各バイトの前に % を追加
Add SSL passthrough target	SSLパススルーする対象を追加
Add TLS passthrough target	TLSパススルーする対象を追加
Add URL to exclude from scope	スコープから除外するURLを追加
Add URL to include in scope	スコープに含めるURLを追加
Add a new action	新規アクション追加
Add a new client certificate	新規クライアント証明書を追加
Add a new custom parameter location	カスタムパラメータ位置を追加
Add a new extract item	新規抽出アイテムを追加
Add a new form field completion rule	新規フォームフィールド補完ルールを追加
Add a new header	新規ヘッダを追加
Add a new interception rule	新規インターセプトルールを追加
Add a new item	新規アイテムを追加
Add a new item by pasting a URL	URLを貼り付けして新規アイテムを追加
Add a new listener	リスナーを追加
Add a new macro	新規マクロを追加
Add a new match/replace rule	新規検索/置換ルールを追加
Add a new parameter	新規パラメータを追加
Add a new payload processing rule	新規ペイロード処理ルールを追加
Add a new proxy listener	Proxyリスナーを追加
Add a new task	新規タスクを追加
Add a new upstream proxy rule	新規上位プロキシルールを追加
Add all items requested through Proxy to site map	Proxy経由でリクエストされたすべてのアイテムをサイトマップに追加
Add all links observed in traffic through Proxy to site map	Proxy経由で観測されたすべてのリンクをサイトマップに追加
Add another decoder	別のデコーダを追加
Add comment	コメントを追加
Add cookies received in responses to the session handling cookie jar	レスポンスで受信したcookieをセッションハンドリングcookie jarに追加する
Add discovered content to suite site map	発見したコンテンツをサイトマップに追加
Add entries here to override your computer's DNS resolution.	コンピュータのDNS名前解決を上書きするにはここに追加してください。
